Borough,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Camden,0.84,0.60,0.65,0.63,0.77,1.25,1.32,1.45,0.94,1.15,2.22,3.29,7.04,11.60
Hackney,8.04,6.95,9.22,8.33,8.51,6.78,7.62,9.04,7.34,6.96,8.43,8.90,,12.53
Hammersmith and Fulham,2.99,4.42,5.02,5.52,4.80,3.49,2.67,2.14,2.03,2.14,3.31,5.61,5.00,7.59
Haringey,3.38,5.95,5.42,6.03,7.14,5.82,5.85,5.04,3.70,9.84,7.44,6.22,11.17,11.63
Islington,2.06,3.72,3.67,3.97,4.07,4.27,4.75,3.83,2.31,2.92,4.75,8.27,,13.29
Kensington and Chelsea,8.93,6.09,7.08,5.19,6.96,8.73,6.28,4.24,2.93,2.92,2.61,,3.29,6.47
Lambeth,3.21,3.60,3.76,3.66,5.22,5.05,7.61,6.31,5.17,7.42,5.96,6.23,9.82,12.65
Lewisham,4.66,5.93,6.15,6.23,5.86,,4.93,4.79,5.61,8.01,7.50,6.95,9.79,11.12
Newham,9.36,10.15,11.89,8.35,12.27,8.49,2.70,1.05,1.02,2.64,4.32,4.60,14.51,4.10
Southwark,3.74,6.88,6.64,6.72,4.43,4.80,4.18,4.11,3.97,4.43,5.71,6.57,8.88,14.26
Tower Hamlets,3.40,3.61,4.55,4.94,5.14,3.83,4.34,5.77,7.84,,,10.29,8.77,12.79
Wandsworth,5.93,5.82,6.34,5.90,5.47,4.98,4.69,4.04,3.41,4.67,4.20,4.83,5.23,6.46
Westminster,3.73,4.47,4.85,5.84,6.58,7.47,4.67,3.86,3.55,4.14,,5.96,8.74,10.02
Barking and Dagenham,6.51,7.05,12.50,10.35,11.78,9.22,2.93,3.25,3.41,4.52,4.94,,5.15,11.57
Barnet,2.88,4.23,2.86,4.68,4.75,4.28,2.47,1.83,1.74,2.44,3.23,3.60,,5.61
Bexley,5.04,5.18,5.03,5.24,4.46,3.71,3.72,2.19,1.39,1.92,2.27,2.76,2.97,4.73
Brent,4.32,4.57,6.05,7.33,6.42,5.02,4.93,3.41,3.13,4.74,8.83,7.31,,6.97
Bromley,4.48,5.98,4.44,3.33,3.75,4.26,4.77,3.20,3.21,3.79,4.32,4.81,5.57,3.91
Croydon,4.69,6.63,6.52,5.79,5.08,6.20,5.80,3.94,2.95,3.12,3.02,2.36,4.09,7.93
Ealing,5.22,5.56,5.15,7.15,4.39,2.91,3.41,2.08,2.96,4.41,3.44,3.75,5.09,6.07
Enfield,5.89,8.37,8.78,4.79,5.04,4.48,2.19,1.70,2.10,5.49,5.24,6.86,7.34,6.27
Greenwich,4.86,4.82,4.14,3.40,2.20,2.84,1.91,1.63,2.01,3.05,3.88,6.16,10.10,12.05
Harrow,3.31,4.92,5.72,3.15,2.06,1.34,1.27,0.52,0.61,0.90,2.74,1.99,1.40,1.12
Havering,3.19,3.09,3.93,1.91,1.64,2.06,2.35,1.43,1.36,1.35,1.84,2.84,,2.15
Hillingdon,2.32,2.50,3.04,2.89,2.88,0.88,1.14,1.58,4.52,3.52,3.55,3.14,3.88,4.52
Hounslow,2.29,3.55,5.22,4.44,6.27,6.58,4.84,2.17,1.99,3.80,4.51,5.55,7.57,10.01
Kingston upon Thames,2.67,3.41,3.12,3.31,3.09,2.88,2.59,2.01,2.15,3.33,3.28,3.65,,4.09
Merton,1.44,1.37,1.68,1.60,1.27,1.21,1.16,1.02,1.14,0.80,1.17,1.32,2.56,3.11
Redbridge,4.45,4.23,4.72,4.24,4.29,4.19,4.02,3.67,2.63,3.75,5.02,4.32,6.05,5.25
Richmond upon Thames,2.40,2.26,2.76,2.81,3.42,4.41,3.07,1.93,1.75,1.64,1.79,1.90,3.14,3.44
Sutton,2.69,3.74,3.69,3.36,2.43,2.00,2.05,1.83,1.80,2.53,2.82,2.83,2.84,3.53
Waltham Forest,5.45,7.74,10.50,10.32,8.01,10.66,6.59,3.42,3.11,4.57,5.22,7.65,8.01,8.33
