Area code,Local Authority,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018
E09000002,Barking and Dagenham,14.9,14.7,15.0,15.0,15.7,16.0,16.4,16.5,16.9,17.0,17.4,17.3,17.4,17.2,17.4,17.4,17.5
E09000003,Barnet,17.1,17.3,17.6,17.9,18.3,18.6,18.8,18.9,19.0,19.3,19.7,20.0,20.1,20.1,20.3,20.4,20.5
E09000004,Bexley,16.6,16.7,17.0,17.4,17.6,17.9,18.1,18.1,18.4,18.6,18.8,18.8,18.8,18.6,18.6,18.5,18.7
E09000005,Brent,16.7,16.8,17.1,17.5,18.2,18.4,18.6,18.5,18.7,19.1,18.9,19.0,19.0,19.0,19.2,19.5,20.1
E09000006,Bromley,17.0,17.1,17.4,17.8,18.1,18.3,18.5,18.5,18.8,19.0,19.3,19.4,19.5,19.5,19.5,19.6,19.6
E09000007,Camden,16.0,16.3,16.5,16.6,16.9,17.3,17.7,17.9,18.4,19.2,19.7,19.8,20.1,20.3,20.7,21.0,21.4
E09000008,Croydon,16.7,16.8,16.9,17.3,17.7,17.9,18.0,18.3,18.3,18.5,18.4,18.9,19.0,19.3,19.2,19.4,19.5
E09000009,Ealing,16.5,16.3,16.5,16.7,17.4,17.8,18.2,18.3,18.4,18.5,18.7,19.0,19.3,19.6,19.7,19.7,19.8
E09000010,Enfield,16.4,16.5,16.7,17.1,17.5,17.9,17.9,18.1,18.4,18.7,19.2,19.2,19.3,19.0,19.0,19.1,19.4
E09000011,Greenwich,15.4,15.3,15.3,15.2,15.6,15.9,16.3,16.5,16.9,17.3,17.5,17.6,17.8,18.0,18.3,18.5,18.8
E09000012,Hackney,16.1,16.3,16.5,16.5,16.3,16.5,16.8,17.7,17.9,18.1,17.9,18.3,18.5,18.6,18.5,18.5,19.2
E09000013,Hammersmith and Fulham,16.7,16.4,16.8,17.0,18.0,17.4,17.1,16.9,17.8,18.1,18.4,18.2,18.7,18.3,18.5,18.3,18.7
E09000014,Haringey,15.3,15.5,15.8,16.3,17.0,17.0,17.1,17.4,18.1,18.7,18.9,19.1,19.2,19.2,19.2,19.5,19.6
E09000015,Harrow,17.7,17.8,18.0,18.2,18.4,18.6,19.2,19.8,20.2,20.4,20.5,20.7,20.9,20.9,21.0,21.2,21.6
E09000016,Havering,16.1,16.2,16.4,16.7,17.0,17.2,17.5,17.7,17.9,18.2,18.4,18.6,18.8,18.9,18.9,18.5,18.6
E09000017,Hillingdon,16.5,16.7,16.6,17.0,17.0,17.5,17.7,18.2,18.4,18.7,18.7,18.9,18.9,19.3,19.5,19.7,19.4
E09000018,Hounslow,15.6,15.7,15.8,16.2,16.6,17.0,17.4,17.8,18.1,18.4,18.4,18.6,18.5,18.6,18.7,18.9,18.9
E09000019,Islington,15.0,15.3,15.9,16.3,16.1,16.3,16.4,16.8,17.3,17.4,17.5,17.3,17.8,18.2,19.0,18.9,19.0
E09000020,Kensington and Chelsea,18.9,18.7,19.2,19.5,20.3,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21.1,21.4,22.1,22.1,22.4
E09000021,Kingston upon Thames,16.8,16.9,17.3,17.3,17.6,17.8,18.3,18.7,19.1,19.3,19.4,19.3,19.7,19.7,20.0,19.7,19.7
E09000022,Lambeth,15.3,15.6,15.9,16.3,16.5,16.7,16.6,17.0,17.2,17.8,17.9,17.9,18.2,18.2,18.3,18.2,18.5
E09000023,Lewisham,15.0,15.3,15.6,15.6,15.9,16.2,16.2,16.4,16.7,17.4,17.7,18.0,18.3,18.3,18.5,18.4,18.6
E09000024,Merton,16.8,16.7,17.1,17.4,18.1,18.3,18.3,18.6,18.7,19.1,19.0,18.9,18.8,18.8,19.2,19.4,19.5
E09000025,Newham,14.8,15.0,15.6,16.0,16.3,16.5,16.5,16.5,16.6,17.4,17.6,17.9,17.9,18.3,18.5,18.8,19.2
E09000026,Redbridge,16.5,16.6,16.8,17.0,17.4,17.8,18.2,18.4,18.5,18.7,18.9,19.2,19.4,19.1,19.3,19.3,19.9
E09000027,Richmond upon Thames,16.9,17.3,17.4,17.7,17.9,18.3,18.5,19.2,19.4,19.6,19.5,19.8,20.2,20.2,20.4,20.2,20.5
E09000028,Southwark,15.3,15.8,16.0,16.2,16.8,17.2,17.4,17.3,17.1,17.5,17.8,18.0,18.2,18.3,18.5,18.3,18.3
E09000029,Sutton,16.3,16.8,17.3,17.4,17.7,17.7,18.0,18.2,18.5,18.7,18.9,19.1,19.1,19.1,19.1,19.4,19.4
E09000030,Tower Hamlets,14.7,14.8,15.3,15.5,15.6,15.7,15.8,16.2,16.4,16.8,16.9,17.2,17.4,17.7,17.8,18.2,18.4
E09000031,Waltham Forest,15.0,15.3,15.7,16.1,16.1,16.5,16.9,17.4,17.8,18.2,18.6,18.9,18.7,18.6,18.8,19.2,19.6
E09000032,Wandsworth,15.6,15.8,16.2,16.3,16.4,16.5,16.8,16.9,17.2,17.7,18.0,18.1,18.2,18.5,18.7,18.8,19.0
E09000033,Westminster,17.5,17.5,17.6,18.1,19.1,19.8,20.5,20.5,20.6,20.4,20.3,20.5,20.9,21.1,21.2,21.3,22.2
